CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,ELAProf_Score,ELAProf_Weight,MathProf_Score,MathProf_Weight,Grad4YR_Score,Grad4YR_Weight,Grad5YR_Score,Grad5YR_Weight,ELAGrowth_Score,ELAGrowth_Weight,MathGrowth_Score,MathGrowth_Weight,ELP_Score,ELP_Weight,CA_Score,CA_Weight,SummativeScore,SummativeRating,CompSupport_Bottom5%,CompSupport_Grad67,AccountabilityIndicator,IndicatorScore,IndicatorWeight,Year
01,ATLANTIC,4180,PLEASANTVILLE CITY,095,SOUTH MAIN STREET ELEMENTARY SCHOOL,18.60,15.0%,14.16,15.0%,9999999,9999999,9999999,9999999,22.75,20.0%,2.67,20.0%,37.87,20.0%,23.20,10.0%,19.89,8.47,No,No,NA,NA,NA,2017-18
01,ATLANTIC,4240,PORT REPUBLIC CITY,050,PORT REPUBLIC ELEMENTARY SCHOOL,79.09,17.5%,47.87,17.5%,9999999,9999999,9999999,9999999,72.63,25.0%,39.88,25.0%,9999999,9999999,17.93,15.0%,53.03,54.32,No,No,NA,NA,NA,2017-18
01,ATLANTIC,4800,SOMERS POINT CITY,050,DAWES AVENUE ELEMENTARY SCHOOL,15.40,15.0%,15.46,15.0%,9999999,9999999,9999999,9999999,67.42,20.0%,35.49,20.0%,62.98,20.0%,59.23,10.0%,43.73,38.63,No,No,NA,NA,NA,2017-18
01,ATLANTIC,4800,SOMERS POINT CITY,055,JORDAN ROAD ELEMENTARY SCHOOL,21.09,15.0%,11.49,15.0%,9999999,9999999,9999999,9999999,62.38,20.0%,35.13,20.0%,50.85,20.0%,20.74,10.0%,36.64,28.50,No,No,NA,NA,NA,2017-18
01,ATLANTIC,5350,VENTNOR CITY,040,VENTNOR MIDDLE SCHOOL,63.27,17.5%,55.09,17.5%,9999999,9999999,9999999,9999999,64.16,25.0%,70.92,25.0%,9999999,9999999,21.64,15.0%,57.73,61.85,No,No,NA,NA,NA,2017-18
01,ATLANTIC,5350,VENTNOR CITY,045,VENTNOR ELEMENTARY SCHOOL,20.50,17.5%,20.97,17.5%,9999999,9999999,9999999,9999999,17.83,25.0%,2.31,25.0%,9999999,9999999,11.03,15.0%,13.95,4.09,Yes,No,NA,NA,NA,2017-18
01,ATLANTIC,5760,WEYMOUTH TWP,020,WEYMOUTH TOWNSHIP ELEMENTARY SCHOOL,24.82,17.5%,49.17,17.5%,9999999,9999999,9999999,9999999,83.53,25.0%,98.75,25.0%,9999999,9999999,17.75,15.0%,61.18,68.72,No,No,NA,NA,NA,2017-18
03,BERGEN,0040,ALLENDALE BORO,010,BROOKSIDE SCHOOL,97.39,17.5%,98.70,17.5%,9999999,9999999,9999999,9999999,87.97,25.0%,85.22,25.0%,9999999,9999999,79.38,15.0%,89.52,97.63,No,No,NA,NA,NA,2017-18
03,BERGEN,0040,ALLENDALE BORO,020,HILLSIDE ELEMENTARY SCHOOL,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,NA,NA,NA,2017-18
03,BERGEN,0080,ALPINE BORO,010,ALPINE ELEMENTARY SCHOOL,97.57,17.5%,95.85,17.5%,9999999,9999999,9999999,9999999,73.28,25.0%,98.64,25.0%,9999999,9999999,18.65,15.0%,79.63,90.82,No,No,NA,NA,NA,2017-18
