CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,StudentDeviceRatio,Year
03,BERGEN,3700,NORTHERN HIGHLANDS REG,050,NORTHERN HIGHLANDS REGIONAL HIGH SCHOOL,1:1,2017-18
03,BERGEN,3710,NORTHERN VALLEY REGIONAL,050,NORTHERN VALLEY REGIONAL HIGH SCHOOL AT DEMAREST,1:1,2017-18
03,BERGEN,3710,NORTHERN VALLEY REGIONAL,060,NORTHERN VALLEY REGIONAL HIGH SCHOOL AT OLD TAPPAN,1:1,2017-18
03,BERGEN,3710,NORTHERN VALLEY REGIONAL,300,NORTHERN VALLEY CENTRAL,NA,2017-18
03,BERGEN,3730,NORTHVALE BORO,050,NORTHVALE PUBLIC SCHOOL,NA,2017-18
03,BERGEN,3740,NORWOOD BORO,020,NORWOOD PUBLIC SCHOOL,1:1,2017-18
03,BERGEN,3760,OAKLAND BORO,040,DOGWOOD HILL ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,3760,OAKLAND BORO,050,HEIGHTS ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,3760,OAKLAND BORO,060,MANITO ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,3760,OAKLAND BORO,080,VALLEY MIDDLE SCHOOL,1.1:1,2017-18
03,BERGEN,3850,OLD TAPPAN BORO,030,CHARLES DEWOLF MIDDLE SCHOOL,1.0:1,2017-18
03,BERGEN,3850,OLD TAPPAN BORO,060,T. BALDWIN DEMAREST ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,3870,ORADELL BORO,050,ORADELL PUBLIC SCHOOL,1:1,2017-18
03,BERGEN,3910,PALISADES PARK,050,PALISADES PARK JR-SR HIGH SCHOOL,1:1,2017-18
03,BERGEN,3910,PALISADES PARK,070,LINDBERGH ELEMENTARY SCHOOL,1.9:1,2017-18
03,BERGEN,3910,PALISADES PARK,080,CHARLES R SMITH EARLY CHILDHOOD CENTER,NA,2017-18
03,BERGEN,3930,PARAMUS BORO,050,PARAMUS HIGH SCHOOL,1:1,2017-18
03,BERGEN,3930,PARAMUS BORO,060,WEST BROOK MIDDLE SCHOOL,1.4:1,2017-18
03,BERGEN,3930,PARAMUS BORO,065,EAST BROOK MIDDLE SCHOOL,1.1:1,2017-18
03,BERGEN,3930,PARAMUS BORO,080,MEMORIAL ELEMENTARY SCHOOL,2.1:1,2017-18
03,BERGEN,3930,PARAMUS BORO,090,MIDLAND ELEMENTARY SCHOOL,1.6:1,2017-18
03,BERGEN,3930,PARAMUS BORO,100,PARKWAY ELEMENTARY SCHOOL,1.5:1,2017-18
03,BERGEN,3930,PARAMUS BORO,110,RIDGE RANCH ELEMENTARY SCHOOL,1.6:1,2017-18
03,BERGEN,3930,PARAMUS BORO,130,STONY LANE ELEMENTARY SCHOOL,1.2:1,2017-18
03,BERGEN,3940,PARK RIDGE BORO,050,PARK RIDGE HIGH SCHOOL,1:1,2017-18
03,BERGEN,3940,PARK RIDGE BORO,060,EAST BROOK ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,3940,PARK RIDGE BORO,070,WEST RIDGE ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,3960,PASCACK VALLEY REGIONAL,040,PASCACK HILLS HIGH SCHOOL,1:1,2017-18
03,BERGEN,3960,PASCACK VALLEY REGIONAL,050,PASCACK VALLEY HIGH SCHOOL,1:1,2017-18
03,BERGEN,3960,PASCACK VALLEY REGIONAL,300,PROGRAMS AT PARK ACADEMY,1:1,2017-18
03,BERGEN,4300,RAMAPO-INDIAN HILL REG,030,INDIAN HILLS HIGH SCHOOL,1.0:1,2017-18
03,BERGEN,4300,RAMAPO-INDIAN HILL REG,050,RAMAPO HIGH SCHOOL,1.0:1,2017-18
03,BERGEN,4310,RAMSEY BORO,050,RAMSEY HIGH SCHOOL,1.2:1,2017-18
03,BERGEN,4310,RAMSEY BORO,055,ERIC S. SMITH MIDDLE SCHOOL,2.3:1,2017-18
03,BERGEN,4310,RAMSEY BORO,060,JOHN Y DATER ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,4310,RAMSEY BORO,070,MARY A. HUBBARD ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,4310,RAMSEY BORO,080,WESLEY D TISDALE ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,4370,RIDGEFIELD BORO,050,RIDGEFIELD MEMORIAL HIGH SCHOOL,1:1,2017-18
03,BERGEN,4370,RIDGEFIELD BORO,065,BERGEN BOULEVARD SCHOOL,1:1,2017-18
03,BERGEN,4370,RIDGEFIELD BORO,090,SHALER ACADEMY,1:1,2017-18
